mu1,mu2,mu3,mu4,tau1,tau2,tau3,tau4
-2.22245322911281,-3.1727434010308,0.0173662757433672,-0.00856695321084611,2.48617292194007,5.02990234644249,1.82484575873238,7.60747708681936
-2.19979138217417,-3.36979395870484,-0.0743632955548868,0.165437957329406,4.5493597213381,7.26727302030918,1.65491362195103,4.63654063735299
-2.09253390486951,-3.27805513736132,-0.121114824260003,0.0621987703030907,4.10309639597394,7.82107640667082,2.26906740644563,4.52873009052016
-2.32079506728946,-3.21904544089177,0.220214894863629,0.139330804880884,3.39265920563431,6.27519340720176,1.6702284965771,6.90432990543252
-2.21246439352787,-3.27055620792835,-0.00481612842427295,0.0732675336349239,4.5106174187265,6.33520634055488,1.91633559770417,7.98913447019758
-2.22710960309471,-3.37729564926119,-0.11357940431649,0.0469064475091181,3.87505633782165,6.17214213171432,1.93455315513751,8.41542786554238
-2.23989887578048,-3.2340382467549,-0.0367689222100933,0.0833081042453023,3.63251378606678,5.31542095234508,2.1797415222964,6.78249383716056
-2.20631694856547,-3.17722721665641,-0.0721608705360058,0.132319983313845,2.38673521534371,2.74067441175841,2.17440386557768,8.95318988534417
-2.37073633212639,-3.09611787519892,0.0050550129200349,0.132785345031484,2.77767416600776,3.29611709576489,1.82016860714888,6.51129636757433
-2.37386336610892,-3.33857328410794,-0.0694541219636533,0.150101889592979,3.35928338031754,3.88198157055325,1.80533913032287,8.19673751936895
-2.32964145093649,-3.25684949965831,0.0587774412217015,0.0395996420060458,3.31901018107515,3.52137183432015,1.73125888736607,7.40900305647816
-2.31838219880341,-3.06494264039477,0.153785659808465,0.0907283185206545,2.2216888141078,4.6629160253872,1.54841453693358,7.41111555844389
-2.35188115647304,-3.24909448586207,0.175663086816325,0.143787885413362,3.98683970637712,4.355172464332,1.63629766890118,7.1299973533262
-2.17047447459227,-3.16085779388547,-0.0947700493144067,0.0551872080434193,2.63978180779414,4.52537485973746,1.41482421827809,6.25212677121934
-2.35380285205108,-3.13343248091607,-0.0271948692631263,0.0555439259152756,2.24256509357524,3.10745921900166,1.74920090158025,11.7985109080998
-2.21242824874819,-3.18238878521718,0.21312018827879,0.0323239988024631,3.29287984874267,5.91689723322072,1.81578930911143,6.9037004894496
-2.19864841349179,-3.24091110928006,0.0250813164948741,0.0735993410060725,2.96537252500584,3.73596694778187,1.39000558670408,8.99965457118814
-2.00764446362299,-3.15703607903564,0.286324818256691,0.0153300971990532,3.38619169183328,5.2978329917308,1.26187925632365,6.19637802198818
-2.2134914488984,-3.18382106170677,0.175498512504084,0.0214824995941653,3.09640096009869,3.81496049176971,1.62073050776021,6.65509151776495
-2.39488081553048,-3.27015496663188,0.0295853422476912,-0.00601384591690082,1.96149786156806,6.67867096521867,2.39062005832652,6.1753572651981
-2.28321473400812,-3.30764219963455,0.0775842330736879,0.135690190950111,1.7332231634689,3.31130615045706,1.36789222603772,8.57798176942394
-2.19737728201253,-3.26382131277863,0.0236027446479756,0.0917600351914464,2.36361122845386,3.7928170207854,1.78755191477685,10.2783577153544
-2.27065945189234,-3.15958518484618,-0.0560375799273166,-0.00627945968336084,4.12523805102501,3.74737930591109,1.94069019188249,11.3010502207675
-2.33224916976303,-3.19042654371365,0.0347765937748313,0.143325246291101,3.19069268683401,4.82613495228582,1.64070139665961,7.05231901102783
-2.17583931117791,-3.23138066953446,-0.198069728420987,0.0597669540005975,1.72978159409323,6.23268781303941,1.24219466682897,6.00375901593895
-2.37911611860042,-3.23407960153505,0.100390628290202,0.192306179967334,2.17885826553245,5.05610023677854,1.45222275687752,4.95895393946648
-2.23653510550499,-3.3769722049486,0.182474185247624,0.00989544112501813,1.92745914600806,4.89647865694124,1.52795432616598,7.23946120248804
-2.29007751478182,-3.26983519614568,0.159433511451199,0.0668877939148801,1.85815184406958,5.56642108235136,1.5019200585329,7.70125944875786
-2.52261220860838,-3.20205569502508,-0.0161811434836027,0.0454705752192232,2.67685012170577,4.88684919102754,2.00123266008525,5.85681268106982
-2.31522616400716,-3.34115661556993,-0.0836905119220692,0.0831201346755906,3.01105194530788,4.82036829353492,1.86233067106499,9.67579567186172
-2.37214409018076,-3.22107745586265,-0.158731068422761,0.0890152346999733,2.14747055725382,6.14535945721225,1.79262030163568,6.90332297581362
-2.17432992924991,-3.18962774711669,0.185162533056475,0.0191675193496605,2.91179573324373,5.01145577460635,2.6514530622134,7.0886517904705
-2.36740663952227,-3.16794542605578,-0.132999070122138,0.154563665184618,2.91578902636933,4.93309527789882,1.58088298708466,5.42070724675152
-2.38979558357427,-3.20095366556114,-0.212374901749961,0.0645209499607885,2.67064766177796,8.09374767446159,2.38237695170371,8.58699494021334
-2.39065993363496,-3.26742341379244,0.0797164766717944,0.0194926553101849,3.0900325449995,7.56667834804484,1.71573817615569,6.47591578430164
-2.23842847595931,-3.25249024229558,-0.19564449584129,0.128709542452586,2.11205105553259,6.86940791358304,1.46779818222893,8.04579201879575
-2.13748459915647,-3.20501454417349,0.170134707232228,0.111039258342675,1.69013619129641,8.26559386864807,2.28217061809204,5.89436709229598
-2.41222283221023,-3.18905620863283,0.044005709435232,0.126544840380014,2.25185055286359,8.53113037906145,1.57518778907781,6.31249315277419
-2.25296738445787,-3.11486930910127,-0.0149078497495543,0.182323344646431,2.42354363658659,5.95884215021612,2.29497845732877,7.51358708881832
-2.12524893212292,-3.23005440694947,-0.0680633305296506,0.123831539838798,2.50994381836406,5.34368366265124,1.80087880636364,6.253978916307
-2.06847332133121,-3.21624867152181,-0.0207402338661767,0.0315452438707908,2.68821810731846,7.1463495181585,1.59657311399664,5.87650468443633
-2.37866171017643,-3.21185848932043,-0.000444223835171745,0.0929345544262608,2.44608792826974,7.86918414129694,1.75882892512987,6.18182148802684
-2.36672204661605,-3.28285204219851,0.108608788549114,0.14200635513107,2.4549166357747,3.9777309361529,1.80180119398736,7.37748699720611
-2.26845928697924,-3.20842746955577,0.0671144355561291,0.10073451859196,3.23720996585349,7.06935225459105,2.03932961926045,5.69629827564781
-2.10085694138049,-3.21870377691189,-0.0904109813034418,0.0108210408368709,2.72107230954192,4.91471093717313,1.60367917671664,8.06535151612454
-2.19356276208494,-3.06621719579506,-0.156805430582078,0.234145654627275,2.63007371744873,3.43233938632391,2.61072568220574,7.65043667986373
-2.13840816777825,-3.33018040498725,-0.0107816170998662,0.0317639665197483,2.48245707931005,4.26188975534785,1.73015583528287,8.2367537198789
-2.21048783288722,-3.18002966389196,-0.114662838636084,0.182009859816456,3.43138488864358,2.3494397517337,1.85023496307617,6.84282695626915
-2.19525175834229,-3.23802164838719,0.118811816201512,0.0865172164863713,2.65498617871334,4.54218379864377,2.20058279345882,10.9290322515442
-2.03085205032983,-3.16165158258187,-0.193151027220596,0.0469975062858353,1.95087387188269,3.83595419185563,1.75574960147569,6.57254517147318
-2.28557811386266,-3.15827347435988,0.0090826066180835,0.0629158200751193,2.84497121763521,4.25757270700668,1.35731799533701,7.28669169259856
-2.43765620323345,-3.26202163640477,-0.199974232527448,0.0772247748133529,2.4604725937096,4.11559012435224,1.81235099495689,5.91917189373283
-2.20713383683067,-3.14972874914215,-0.259730197885221,0.106819173833694,2.99808535181426,4.36133299917393,1.6082114893281,7.09100592446443
-2.36532361451694,-3.13681108645479,-0.198250078975836,0.0791346508669812,2.34998944209608,4.08216201266563,1.69912480816546,6.85208341723623
-2.36740777042172,-3.09328615778856,0.0693991061238088,0.0587289681913483,2.72080092468862,5.10074359149138,1.49536785316663,6.82221260870842
-2.24486404455112,-3.08969824473386,-0.0808454870372069,0.187121546983357,1.79909179599691,4.91843328692484,2.53795373889416,6.40452373229609
-2.33214535096165,-3.12717327602761,-0.0978831395623504,0.210015655725851,2.17080180439391,5.91453895877854,1.83545650596056,5.49828773137949
-2.31217351781558,-3.06701342928799,-0.175315941118497,0.0123515135447179,2.53068184610434,11.2867605040361,2.02849329906598,8.58905174304993
-2.23566935366978,-3.02439901166204,-0.176377328894216,0.194199399771666,3.57210532561585,4.90681333135023,1.42925938431701,5.70989398458542
-2.30029475140458,-3.0253355902738,-0.114259307646417,0.151971238361848,2.27734903298645,6.61573411750646,1.62554415803565,7.49878665991055
-2.3341554157754,-2.98004974290524,0.156792415368929,0.0940547168988505,3.04873403083869,8.08725543761832,1.62563533939328,6.92411135897154
-2.29821298189213,-3.1325726412628,0.0778218481284264,0.0532240694269328,3.00116777724247,10.123253540733,1.32338304858413,7.42455092116646
-2.37863110610882,-3.12883030098645,0.0920406219652551,0.00632962355242177,3.79447106649187,8.30392845462232,1.79878069606842,8.36559887056127
-2.20671167254978,-3.16037398612329,0.0967142083161479,0.12352784236471,4.02424467531745,7.31172622427416,2.22400954761178,6.94924744244314
-2.1240135717834,-2.98730241792304,-0.110025365652986,0.0341292695468235,4.3061659564171,10.8653991539691,1.68930246084128,9.8805005009981
-2.27320783059598,-3.02060275103753,0.101364666563562,0.00446605323335633,3.97867300248556,6.70232342744096,1.84926454571605,3.68467808049909
-2.32069262102631,-3.05831946161302,-0.0515896743761661,-0.00155290593789611,3.0019274722422,8.67588660910503,2.03701774720959,7.29779570003371
-2.2091901303114,-3.07331832211441,0.0950156170190886,0.0204455698527422,2.21464195142816,12.8853771259306,2.72188621346306,5.7185523594633
-2.26578336186043,-3.06280845344777,0.0520099746926794,-0.0125936426431755,1.95064946827613,7.65874760934926,2.134025538396,5.08673768000871
-2.28940958332212,-3.07176988521553,0.0819587600786031,0.0175097537398832,2.32994261818608,4.33029015110555,1.8367027606177,5.19082307442691
-2.23771389930108,-3.04376873953202,-0.111034336494444,0.0842693056734481,3.14207633383116,10.44813295351,1.84502914271925,6.5835530786226
-2.18598732737575,-3.11325098020577,0.192177234336989,0.118320535445793,1.97391953422236,6.03606859691812,1.63902254959159,5.38259490946938
-2.39319687034994,-3.18853093921182,-0.341556234557742,0.0514336677390822,2.46778217487491,6.92693019475269,1.56248544938081,6.49502832837069
-2.26230711714036,-3.12146400198828,-0.0617386029393672,0.0399544629481685,2.45367575646036,6.31998035592866,2.06210387916056,6.32117511639983
-2.31177988220775,-2.99754956118976,-0.110452942483102,0.0781248945136195,2.8672697776983,6.13316770163377,2.64530942879625,5.60260544024367
-2.20534036089736,-3.1483452603536,-0.273636804430598,0.119343178590357,3.17748087555125,6.12878445301662,1.25538357040553,6.16269483394882
-2.31258968842148,-3.06402585063495,0.0377840409070717,0.0784873182284933,2.48732073017971,7.29281043623869,1.61466737756496,7.48014509919509
-2.32032390166,-3.02167986256133,-0.0450014688369531,-0.0316675303609907,3.00300706817665,8.14317849674364,1.34697809603661,7.04934538422021
-2.3341750883764,-3.17502448848573,-0.17468461427631,0.220749477071849,1.80399649573355,5.03958704978971,1.78955820100691,6.51900173227819
