kappa1,kappa2,kappa3,xi1
4.44624,1.35931,1.99301,-3.04093
5.21271,0.602437,1.96542,-2.99064
5.11939,0.697517,1.97137,-3.13973
5.12704,0.714079,1.97131,-3.13849
4.63263,1.20265,1.99576,-3.08886
5.25524,0.561847,1.96969,-2.69576
4.47583,1.36875,1.9866,-2.75191
4.56736,1.26114,1.98824,-2.80258
4.48878,1.34788,1.99444,-2.80473
5.65292,0.209326,1.97917,-2.8639
5.65173,0.200291,1.9795,-2.87949
4.76989,1.05659,1.97457,-3.07282
4.84154,1.02623,1.96619,-2.95195
4.89869,0.988058,1.9821,-2.99193
4.79374,1.00193,1.97943,-3.01924
4.8031,1.06267,1.9817,-2.96229
4.77751,1.02193,1.98141,-2.96446
5.32309,0.548832,1.9897,-3.09791
5.5345,0.282292,1.96312,-3.29311
4.76586,1.05225,1.99193,-3.87858
5.6295,0.243377,1.95828,-3.59066
5.13054,0.740618,1.97455,-3.72913
5.68471,0.093227,1.96805,-3.59875
4.75553,1.1254,1.97687,-3.78379
5.68736,0.19969,1.97475,-3.58653
5.22116,0.567589,1.96857,-3.05885
5.76638,0.0919393,1.97942,-3.7502
6.01209,-0.158439,1.98082,-3.53911
6.12277,-0.255046,1.98118,-3.54789
6.09655,-0.283263,1.98132,-3.5465
6.16377,-0.243394,1.9811,-3.54121
5.20719,0.669121,1.97523,-3.21048
5.34112,0.465279,1.9855,-3.20464
5.39314,0.4269,1.99836,-3.10055
5.48151,0.34628,1.99488,-2.91743
5.20411,0.601121,1.97745,-3.0308
4.81773,0.945893,1.9794,-2.84057
4.92626,0.853011,1.9886,-2.84149
4.90445,0.901725,1.98842,-2.84896
4.84642,0.97138,1.99129,-2.87204
4.35066,1.38764,1.9745,-2.79099
4.43134,1.35724,1.98001,-2.81486
4.28182,1.50908,1.98764,-2.8599
4.94915,0.832583,1.97884,-2.72154
5.53962,0.269805,1.9765,-2.84708
6.16607,-0.355993,1.9787,-2.90065
5.1865,0.577487,1.99611,-2.79649
5.71576,0.0663722,1.96703,-2.87626
4.82486,0.981668,1.97832,-2.73923
4.88375,0.888362,1.9852,-3.0135
4.52311,1.35325,1.97798,-3.01014
4.68161,1.19568,1.97943,-3.16374
4.94909,0.834023,1.97953,-3.02561
4.60906,1.27782,1.96779,-2.89148
5.05884,0.835964,1.97427,-3.14152
5.11302,0.680037,1.97737,-2.66961
5.08119,0.680719,1.97634,-2.70322
4.08367,1.66561,1.98252,-2.76893
5.37597,0.441015,1.95586,-2.86809
4.44368,1.33195,1.99585,-3.04635
4.51137,1.29004,1.99256,-3.03633
4.68614,1.10846,1.96257,-3.04913
4.62351,1.17739,1.97359,-2.89952
5.09801,0.695856,1.96819,-3.00887
4.30773,1.41865,2.00272,-2.98591
4.46198,1.32041,1.9977,-2.98356
4.47506,1.29894,1.99495,-3.20619
4.74407,1.02525,1.97804,-2.68838
5.46632,0.298989,1.98475,-2.76939
5.76662,0.00634772,1.97331,-2.84708
4.99272,0.788266,1.96488,-2.97188
6.09427,-0.304494,1.99644,-2.78513
5.92808,-0.167892,1.99275,-2.79471
6.18521,-0.385835,1.99442,-3.09684
4.36048,1.45491,1.97009,-2.69423
4.30286,1.53348,1.9678,-2.60427
4.74838,1.09313,1.98003,-2.90058
4.82404,0.988271,1.98188,-2.91689
4.72163,1.06985,1.98448,-2.94565
4.33773,1.43342,1.99646,-2.89565
4.33914,1.46508,1.98746,-2.80676
4.64891,1.1622,1.98304,-2.95079
4.93184,0.859461,1.97832,-2.78307
4.62837,1.15965,1.99285,-2.99207
4.1159,1.67141,1.97336,-3.02477
5.87286,-0.11301,1.97929,-2.64723
5.82769,-0.0677576,2.00557,-2.72584
4.49579,1.24517,1.99687,-3.01119
4.62442,1.17059,1.95931,-3.02874
5.19212,0.597295,2.00193,-3.12825
5.07888,0.70808,2.0002,-3.04521
5.14704,0.598769,2.00572,-3.03183
6.82099,-1.06979,1.95143,-3.284
6.29059,-0.512001,1.9716,-3.33061
6.19646,-0.431469,1.97099,-3.29973
5.62007,0.096531,1.96834,-3.52219
4.99601,0.714359,1.98243,-3.13597
4.89444,0.801648,1.98557,-2.85966
4.50086,1.19074,1.98693,-2.83568
5.05586,0.634525,1.98277,-2.78184
4.36855,1.33579,1.98442,-3.05784
5.65756,0.149629,1.97419,-2.71264
5.20107,0.506102,1.95785,-2.75323
5.28618,0.525712,1.96521,-2.77856
5.34703,0.459212,1.9721,-2.76274
4.28706,1.45594,1.98569,-2.77018
5.08769,0.713993,1.98557,-3.00045
5.45346,0.351947,1.97637,-3.1306
5.31291,0.489147,1.97846,-3.11524
5.35688,0.452503,1.9735,-3.30618
4.63875,1.13653,1.99283,-3.36655
4.61542,1.14864,1.99629,-3.10101
5.58717,0.244994,1.97201,-3.07962
4.9399,0.843908,1.98592,-2.90461
4.69311,1.10472,1.98865,-2.88814
4.47598,1.36943,1.97112,-3.21888
4.09351,1.7018,1.96506,-3.28787
6.10286,-0.302005,1.98903,-2.90105
5.13937,0.624876,1.96329,-2.80271
5.40913,0.377088,1.97767,-2.84587
5.4076,0.382927,1.98256,-3.03452
5.03618,0.778976,1.97976,-3.14809
5.17373,0.5868,1.97728,-3.08372
4.38918,1.46321,1.98964,-3.09633
4.38099,1.45134,1.98933,-3.09254
4.95993,0.853019,1.98346,-3.09223
4.94478,0.840759,1.98359,-3.09322
4.38565,1.39702,1.9808,-3.09205
4.62085,1.1886,1.97058,-3.04762
5.27289,0.540843,1.99505,-2.74734
5.27959,0.528465,1.9951,-2.7499
5.67041,0.149098,1.99701,-2.74176
5.13602,0.794007,1.97002,-2.71698
