mu1,mu2,mu3
-0.5671765937522887,-2.926320161101772,-0.04151039908946891
-0.6575108938437586,-2.8925631856801632,-0.033798338901626986
-0.6542294718980091,-2.8987682435082074,-0.005629029239887201
-0.6346100712515135,-2.949700801009304,-0.026981054771824373
-0.6346100712515135,-2.949700801009304,-0.026981054771824373
-0.6229407560814684,-2.938768723888873,-0.05381806149744196
-0.6414482734617355,-2.864835960183159,-0.05667084121262449
-0.6780156668755897,-2.8994101106704564,0.023331129248233513
-0.7622900383719855,-2.9033531842052067,-0.13969336544572963
-0.7645244508835248,-2.8369072812792475,-0.14354268035161177
-0.6404026557150071,-2.9957404019221068,-0.09978651463992674
-0.7091246871916743,-2.881588490386669,-0.04310290159035102
-0.6856115839878527,-2.9134120481831425,-0.11486925778361155
-0.6682703660349407,-2.9169647416344815,-0.11629790378523876
-0.6210192313331123,-2.87230781974144,-0.03093770511726124
-0.6968956930065021,-2.919110984911307,-0.04060977925839633
-0.701730931740822,-2.981118729234919,-0.00673004513763782
-0.5074876466734664,-2.9030410058761262,-0.10011412764175862
-0.5791661773914233,-2.9499579825541504,-0.1218132415132667
-0.5896346307177138,-2.9495990317022773,-0.04154300139475599
-0.5540452577132188,-2.8851862427117134,-0.11093910226391478
-0.6043972355792494,-2.8659654085574116,-0.053205150269583994
-0.6609363927641634,-2.920695299872245,-0.021625509776232756
-0.6719000718082433,-2.885613830177351,-0.027974692454110845
-0.6891111885359016,-3.005185363351496,-0.12162533882201625
-0.6745063535855748,-2.8051286612603237,-0.014408591148044915
-0.6522903454510594,-2.801330862439295,0.045293210069783124
-0.6543704253909314,-2.9241346028780044,-0.12131062004617131
-0.6543704253909314,-2.9241346028780044,-0.12131062004617131
-0.6600624368714703,-2.911694727424533,-0.01821587053293114
-0.6208229400534796,-2.8991063369694943,-0.008070637529531174
-0.6692533487048067,-2.8955856703468434,-0.08789098261976311
-0.6500704009044469,-2.7650815675253515,-0.0928158977123675
-0.7572323703640209,-2.9576865482986996,-0.07009171483955035
-0.50151381138798,-2.806546239014196,-0.06974547896999803
-0.6368074500310587,-2.80073210805577,-0.015886408227066565
-0.6542987875308071,-2.863258779798047,-0.16132641219449312
-0.5437621206284113,-2.926203252678947,0.010578747103823258
-0.5975146045908523,-2.988402685643973,0.06771873752629654
-0.6910388152224969,-2.7468450822159887,-0.22289793051120546
-0.6089681149130902,-2.989577489658667,-0.08510349950160748
-0.7065937672220794,-2.773947193285147,-0.08297089945021688
-0.6500238865126815,-2.999045905058643,-0.06882045882863973
-0.7410141573913963,-2.8354779517470603,-0.21209481679072364
-0.5984204915054432,-2.8034710520173527,-0.08789172905726646
-0.5814620953752883,-2.9032420738277764,-0.022487916876858555
-0.6517830296149645,-2.928844119744281,-0.1321649363816231
-0.6212903859286957,-2.9011527017060383,-0.032317414423412315
-0.6494298876381546,-2.8812475688566694,-0.1298651630262586
-0.6479195185352297,-2.889901705771482,-0.051581880807430106
-0.5858970828131046,-2.8857977175811964,0.0003545469248194058
-0.6054531215718428,-2.9010318955984973,-0.07112192370562262
-0.7223941740288538,-2.8810532144164123,-0.055074213260412556
-0.7258776427115455,-3.025179769603231,-0.10086630662862577
-0.6811010008834331,-2.9044175129616354,-0.002219989288955726
-0.5983888097544152,-2.9494906357243478,-0.06710054213081476
-0.713205893772702,-3.078247098939034,0.005279932686386941
-0.7051900099960868,-3.0500357906233564,-0.01805926023128615
-0.643179256207838,-2.79617677146374,-0.07679753312764494
-0.5897744861916678,-2.9289501385526915,-0.10280971974362745
-0.6268774645068367,-2.9593431789951574,-0.05805420769456081
-0.7847359440521385,-2.823224263155025,-0.15513193901600877
-0.7978375672373427,-2.897979927127051,-0.020969641561403247
-0.622852553599267,-2.8806616664462497,-0.14933857642192086
-0.7377529325651748,-2.769897836189114,-0.03962700078156671
-0.7232196288974447,-2.8184588795724483,-0.06753754389053884
-0.694210622935125,-2.9469093832334674,-0.10713484255342082
-0.7177622228010774,-2.8066499315188493,-0.06932777500557423
-0.6937761986205925,-2.807738424395701,-0.014703536569597747
-0.6643548567863838,-2.7725081691645226,-0.031217420850117333
