mu1,mu2,mu3,tau1,tau2,tau3,xi1
-0.8812679390359975,2.30810236017993,-0.7151087320475086,2.6490782745651527,10.83001751225284,3.2198804437276816,-1.1685909331190034
-0.866884753122136,2.35195422298955,-0.5891923919806169,3.4826918133862006,7.9912385712492915,2.152715414341635,-1.1685909331190034
-0.8649075493540249,2.330704902219378,-0.7019518396282959,3.7013865685386755,11.454390442829537,3.380658322182018,-1.1685909331190034
-0.7862398854200456,2.412357990681995,-0.6040817671598226,2.606350319350552,7.855968599267996,2.474663053137402,-1.1685909331190034
-0.8723168864648602,2.2745473462701185,-0.7064203061691515,3.9926021326685524,10.447603986748039,2.573425650904022,-1.1685909331190034
-0.8852086719500544,2.365821873523009,-0.6859988114792464,3.9557413889618402,7.2327748849018345,2.4860933965952126,-1.1685909331190034
-0.8734706344808845,2.303171590455009,-0.6680374463690822,2.976420321281332,8.759117646210344,2.6883033894484982,-1.1685909331190034
-0.9441636679832001,2.3393447867545194,-0.6928404305340747,2.727190838627958,7.813899284944924,3.4688542066226487,-1.1685909331190034
-0.7856360823950767,2.3269325293764695,-0.7580456824569244,3.8064961034701907,9.08895270601397,2.9556063832710815,-1.1685909331190034
-0.8009056439546284,2.403167999242502,-0.6949779427758118,3.1821381040215435,7.764180267055892,2.6818295637710405,-1.1685909331190034
-0.9674578434443989,2.3627742100215157,-0.6448862526156471,3.7697027388540127,8.835348258520332,2.4777045345273625,-1.1685909331190034
-0.8392203093521449,2.316354473510266,-0.6273675081671325,3.947837421093213,8.144740467946107,2.5775070772727497,-1.1685909331190034
-0.8306015576626419,2.265139071302225,-0.5944230011985686,4.627503982060223,10.742968740463649,2.3771199918348684,-1.2033892839184084
-0.8794948473744606,2.297531472575521,-0.617540551698107,3.465605455373215,7.334712304583621,2.4763083785380684,-1.2033892839184084
-0.9484005321775137,2.3198486191011614,-0.5889477230116085,3.074582799737695,8.32220254785913,2.371902726936825,-1.2033892839184084
-0.8752828342637387,2.2931019204924974,-0.711470981685193,3.9344271764045073,8.79708115503585,2.3807847829095703,-1.2033892839184084
-0.9555274194730661,2.370715156128371,-0.7235822223327794,3.17876580880735,8.540527290265194,2.7683629620186827,-1.2033892839184084
-0.9319851227351832,2.3227618436049116,-0.6868200063959534,4.668763594742197,9.085596628127014,2.6444812231378187,-1.2033892839184084
-0.8235785669809372,2.3215587020385193,-0.7910168115694184,4.260284924745154,10.492848340429632,2.2945087947067355,-1.2033892839184084
-0.8072075637367115,2.3532968131400405,-0.71984007558027,4.312767051464835,8.07371952112242,1.9529813812288719,-1.2033892839184084
-0.8813224817343521,2.337586256364863,-0.7536569455999234,3.3857267161974027,9.220313849169724,2.8229449986965487,-1.2033892839184084
-0.999785199173952,2.3409904528386507,-0.7270876150540018,3.3517831921097074,10.129886776583099,2.7035591285372145,-1.2033892839184084
-0.8802092899967183,2.3380963759627877,-0.7303050114913041,3.4762575061436842,8.671662540290319,2.77999922427495,-1.2033892839184084
-0.8140610563876902,2.384148672461984,-0.6802839444441422,3.336993846087855,8.447900520571183,2.6024995511817473,-1.2033892839184084
-0.8683743385211927,2.3038908925151986,-0.6695478989771098,2.8845769962978496,9.697992172701312,2.6902898095137746,-1.2033892839184084
-0.887902075205748,2.3561042671913524,-0.5987559842904534,3.5617327314250353,9.801491688565124,2.3280653376021516,-1.2033892839184084
-0.7128902538422379,2.387425058359121,-0.7480309630761374,3.3417339300559403,10.437213014733429,2.792690999247406,-1.2033892839184084
-0.8317528239407068,2.389222679900592,-0.7983698954771802,2.8242676501892707,8.847011299935192,2.6343177322973337,-1.2033892839184084
