kappa1,kappa2,kappa3,xi1
6.16494,-0.0717478,2.09962,-1.58613
6.3019,-0.20306,2.12595,-1.61955
5.50237,0.591187,2.12915,-1.60392
5.4179,0.698543,2.1525,-1.61115
5.60032,0.519438,2.16747,-1.57606
5.63627,0.471448,2.1661,-1.58059
5.12771,0.996409,2.1391,-1.60372
5.52614,0.603051,2.08233,-1.59925
5.53216,0.581564,2.07598,-1.58283
6.17912,-0.0291322,2.12541,-1.6339
6.15846,-0.0572842,2.1243,-1.63352
5.22067,0.925005,2.17308,-1.55185
5.38839,0.721199,2.08985,-1.58676
5.24886,0.86166,2.12877,-1.63496
5.25454,0.86907,2.1321,-1.63559
5.53997,0.564523,2.13808,-1.5972
4.58118,1.54067,2.13506,-1.61378
5.84119,0.272742,2.13527,-1.6045
6.09972,0.0134546,2.11494,-1.61464
5.32895,0.787036,2.12128,-1.63684
5.7357,0.391946,2.12913,-1.62034
5.52854,0.601564,2.1415,-1.61743
5.36365,0.795267,2.0985,-1.59954
5.68864,0.45022,2.16027,-1.59403
5.69641,0.453283,2.16238,-1.59293
5.55972,0.601796,2.11582,-1.61373
5.54916,0.578657,2.12468,-1.61513
5.63074,0.529231,2.1093,-1.60406
6.33121,-0.159297,2.16621,-1.58656
6.31028,-0.18489,2.1666,-1.58662
4.72413,1.4558,2.0927,-1.63844
4.85043,1.30814,2.05918,-1.61824
4.16791,1.98675,2.10536,-1.60429
6.81577,-0.634236,2.12504,-1.61222
6.61645,-0.441058,2.1436,-1.58977
6.59776,-0.466823,2.14278,-1.59037
5.99649,0.123333,2.13319,-1.56164
6.02255,0.148501,2.13263,-1.56211
6.04498,0.138226,2.13225,-1.58246
5.92818,0.253807,2.13576,-1.56415
5.61318,0.542776,2.10452,-1.57114
5.99171,0.163791,2.15268,-1.63622
5.96175,0.195999,2.15119,-1.6259
5.20968,0.959871,2.16651,-1.60618
5.24252,0.938081,2.15625,-1.60841
6.43948,-0.245814,2.07828,-1.58282
6.49164,-0.279923,2.08876,-1.58226
6.28628,-0.0871271,2.16362,-1.6211
6.14932,0.0483602,2.15129,-1.61144
5.88986,0.342431,2.11024,-1.594
6.04191,0.173389,2.12402,-1.59698
5.89993,0.317233,2.12709,-1.60151
5.69084,0.495016,2.14453,-1.61332
4.20708,1.99995,2.08374,-1.58774
5.73394,0.480642,2.17363,-1.54041
5.59725,0.597636,2.15281,-1.60758
5.81598,0.401425,2.1447,-1.59863
5.90683,0.313459,2.17039,-1.56232
5.95454,0.264413,2.15118,-1.58452
5.85092,0.355026,2.17081,-1.59047
5.38156,0.831788,2.14471,-1.60906
5.64992,0.56134,2.12457,-1.57845
4.6357,1.58779,2.13135,-1.60437
4.67949,1.56899,2.14444,-1.57914
5.49556,0.751323,2.1045,-1.57202
5.56108,0.67153,2.13777,-1.64675
5.55959,0.664132,2.13795,-1.64585
5.6102,0.603727,2.12057,-1.61482
5.42956,0.782076,2.10729,-1.61488
5.41921,0.784505,2.11071,-1.58832
6.21621,-0.0190072,2.07749,-1.60598
5.24319,0.978064,2.17269,-1.5829
5.95901,0.258016,2.13524,-1.61597
5.8977,0.292685,2.13549,-1.61131
6.38485,-0.132852,2.11326,-1.63958
6.36302,-0.16162,2.1113,-1.64095
6.32939,-0.127499,2.11378,-1.64639
6.30227,-0.149279,2.17114,-1.53456
5.80422,0.363513,2.22285,-1.62743
6.08251,0.128157,2.23853,-1.60403
7.11399,-0.927425,2.14413,-1.56446
7.60044,-1.43213,2.09647,-1.59859
7.30976,-1.11224,2.1394,-1.57717
5.75838,0.386415,2.15085,-1.60571
5.83531,0.354898,2.12931,-1.59995
4.71821,1.44239,2.16468,-1.602
5.56171,0.620461,2.09586,-1.6176
5.73844,0.416343,2.12869,-1.56924
6.03981,0.128767,2.15227,-1.57495
6.25022,-0.055759,2.1677,-1.58978
6.15972,0.051288,2.14873,-1.63837
5.92057,0.306826,2.14272,-1.63344
5.93117,0.303406,2.14338,-1.63273
5.92283,0.289975,2.14373,-1.63261
5.86037,0.352483,2.13439,-1.61844
5.31738,0.867214,2.14439,-1.571
4.74173,1.48765,2.08019,-1.5703
5.44524,0.771286,2.17955,-1.56108
5.40988,0.795073,2.1565,-1.5763
5.42228,0.770825,2.1676,-1.59013
5.57538,0.641666,2.1378,-1.6103
5.80601,0.402834,2.21243,-1.59379
5.85216,0.334075,2.17308,-1.62404
5.57515,0.597946,2.16677,-1.57767
6.0704,0.117831,2.12486,-1.54777
6.42604,-0.217379,2.14592,-1.58841
5.58024,0.6138,2.14377,-1.5628
5.60176,0.636008,2.14549,-1.5751
5.54644,0.619277,2.08352,-1.56975
5.58367,0.632909,2.0844,-1.57218
5.31453,0.89716,2.10163,-1.58255
5.36139,0.83857,2.10275,-1.5901
5.15698,1.04238,2.12354,-1.56802
5.05141,1.16567,2.14803,-1.57895
5.42053,0.785018,2.15063,-1.55246
5.71287,0.48798,2.14665,-1.54689
4.80436,1.36691,2.15621,-1.63163
5.5933,0.59994,2.07578,-1.55678
5.28762,0.845987,2.10345,-1.56077
5.57179,0.591467,2.10879,-1.55183
4.86757,1.26323,2.10147,-1.58036
5.2548,0.906146,2.05994,-1.60287
5.43777,0.754071,2.0549,-1.57941
5.45447,0.736009,2.0477,-1.56614
5.50631,0.70032,2.04882,-1.5812
5.38993,0.821179,2.0979,-1.50367
5.67459,0.554944,2.11901,-1.53048
5.70218,0.502035,2.11314,-1.55404
5.65328,0.573465,2.12429,-1.63658
5.14425,1.0886,2.14688,-1.61178
4.2829,1.97741,2.14831,-1.57073
3.68,2.58502,2.14676,-1.59745
4.17228,2.06792,2.08775,-1.62474
4.56659,1.68433,2.16883,-1.57549
4.39782,1.81737,2.14344,-1.61225
4.4261,1.81504,2.1427,-1.61297
5.2917,0.965335,2.14578,-1.59723
4.5256,1.73835,2.10818,-1.60035
