kappa1,kappa2,kappa3,xi1
6.50674,-0.0433146,2.16936,-1.52755
5.97157,0.484624,2.06663,-1.66784
6.68471,-0.234046,2.20456,-1.59756
6.24222,0.227812,2.1666,-1.48843
6.49529,-0.00392998,2.12892,-1.56236
5.66234,0.828187,2.14954,-1.62796
5.89027,0.606374,2.11614,-1.69296
5.38983,1.0916,2.12873,-1.67383
5.4193,1.12173,2.12906,-1.67255
5.33833,1.1309,2.12141,-1.68486
5.3158,1.17533,2.11738,-1.67166
5.41098,1.08907,2.10492,-1.69942
5.67495,0.828125,2.14257,-1.69256
5.539,0.948901,2.11098,-1.60703
5.71569,0.778609,2.15569,-1.5288
5.93554,0.586799,2.1186,-1.52734
5.79137,0.730714,2.12764,-1.62759
5.3581,1.14878,2.13678,-1.62895
5.18595,1.30519,2.16912,-1.52271
4.67299,1.83682,2.15983,-1.5887
5.74938,0.71825,2.10053,-1.61069
5.7898,0.662546,2.10855,-1.60696
4.94467,1.51103,2.13682,-1.64003
5.03532,1.44454,2.12254,-1.66925
5.86815,0.609567,2.12478,-1.60329
5.53304,0.945282,2.09645,-1.61418
4.64009,1.81811,2.15601,-1.65297
4.66037,1.79018,2.16265,-1.65012
5.52369,0.943737,2.09935,-1.69379
5.19479,1.26054,2.12315,-1.60652
5.07899,1.38708,2.10115,-1.59735
5.18459,1.28991,2.15822,-1.56589
5.93046,0.545377,2.13098,-1.53319
4.59322,1.89284,2.13226,-1.68355
5.00368,1.49089,2.13637,-1.67196
5.58124,0.905787,2.11909,-1.59764
