time,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20
10.6779661016949,6.99321979530965,6.06403046792607,6.94431316514715,6.26998999359836,6.37395816388976,6.93156288154686,6.92492460183681,7.57299807685759,5.78292931592649,7.12036211755697,7.49411107125878,7.22366149585513,6.70145055026617,6.79649684383803,5.95267456499974,6.65174626726982,6.86468792474419,6.76984632857051,6.69151616220608,6.49544724167442
11.1864406779661,6.99084070671555,5.95886867779477,6.93505384609983,6.21065549839927,6.41719338574916,6.86417635322885,7.03596289864682,7.64654100623873,5.80201157355425,7.06608594456953,7.47072525051087,7.23479803399005,6.7677855620161,6.788076128353,5.92905686406731,6.5806112278539,6.82843730804237,6.8835845213581,6.6819455658888,6.49546677349766
11.6949152542373,6.92049445201098,5.97045062322676,6.90302970608937,6.22829798350252,6.35718804542529,6.8710830215077,6.94377463038123,7.58562162728604,5.67859581868519,7.03689471479518,7.49479622107412,7.19442198032672,6.69236570796425,6.69415034600553,5.8383741657303,6.55436780516626,6.85599414074353,6.71790906369632,6.6447164247488,6.41703855057589
12.2033898305085,6.91073463927557,5.91553368700151,6.84837729890927,6.27173102435641,6.36437900777967,6.87352354449792,6.93578839856136,7.59001949541583,5.69014255307911,7.0220231741732,7.49805655322767,7.24443526139338,6.69466414738217,6.64851246351359,5.85342927385273,6.52511101430816,6.77077109812233,6.74378179393084,6.65867390087018,6.44883382759374
12.7118644067797,6.91873241217456,5.89452450050092,6.87861198515157,6.15532015010526,6.34084640024106,6.84494964908218,6.94384970359781,7.51078205093199,5.61753331600027,6.97555466242046,7.44514279795364,7.16171878647505,6.63497953975569,6.5802497163895,5.89642751992639,6.52378257745599,6.77404951252717,6.73904115118096,6.56411312951117,6.44052586993862
13.2203389830508,6.8898921457735,5.84369304355749,6.8295230381955,6.21097452407299,6.36999904030769,6.83421514104342,6.9293899020586,7.5517916472391,5.58756407898287,6.8866525275165,7.44560593764168,7.18627238686933,6.59547643925091,6.65329323240332,5.90980636364903,6.5340934835946,6.7646456384221,6.7351832872328,6.59711949400155,6.44602456256395
13.728813559322,6.88948164341031,5.86570878035049,6.79852580786777,6.16828257086584,6.22579720451035,6.80599148703278,6.85955759690759,7.60121693988063,5.62066688936123,6.90925905548249,7.35171479514694,7.16741164194527,6.58857631694151,6.5350673068546,5.84732135147574,6.43169026626796,6.78945755316375,6.68406298059835,6.53201642516108,6.34617903956915
14.2372881355932,6.85333709198548,5.82090833032304,6.84780227308763,6.11181538885521,6.21401498967613,6.78133830947983,6.87111991313444,7.50435620719121,5.5455244393417,6.83708766125219,7.38212172898664,7.1079481465399,6.56238744720929,6.56102592819284,5.76228841328421,6.40285061737608,6.77261323321176,6.67655509907556,6.54686405597862,6.33182806556052
14.7457627118644,6.80296850053704,5.75765260645961,6.78575801511841,6.0729009974684,6.2067552700097,6.70733295325961,6.86103918305237,7.49336290300214,5.53225746627048,6.79113356739718,7.35400508452314,7.11257780806237,6.57478362242832,6.49339836215346,5.80146304819309,6.43563981711089,6.73989463066966,6.67259402077993,6.52085411814003,6.30083772290734
15.2542372881356,6.83972737396041,5.78057814843759,6.80106880834453,6.07814362131161,6.1176192156492,6.75433770072807,6.86471856220975,7.45719868963265,5.43224619932067,6.7558865666603,7.2979733283162,7.15750794351414,6.56377783641908,6.43212665836801,5.71143998588929,6.35502342831217,6.69515614493016,6.68804779860732,6.57212777464273,6.28182056760383
